Date,Open,High,Low,Close,Volume,Adj Close
2015-09-23,89.50,92.25,89.50,91.50,8800,91.27
2015-09-22,90.25,90.25,88.50,89.50,17500,89.28
2015-09-21,92.50,92.50,88.25,90.00,86000,89.78
2015-09-18,94.00,94.00,90.50,92.50,10600,92.27
2015-09-17,96.50,96.50,93.75,94.00,95800,93.77
2015-09-16,97.25,97.25,93.00,94.50,38000,94.27
2015-09-15,94.50,94.50,91.00,92.50,38000,92.27
2015-09-14,97.75,98.50,94.25,94.50,20600,94.27
2015-09-11,100.00,100.00,94.75,97.75,120700,97.51
2015-09-10,97.00,101.00,97.00,98.00,12500,97.76
2015-09-09,100.50,101.00,97.50,101.00,15100,100.75
2015-09-08,95.50,98.75,95.00,98.25,6100,98.01
2015-09-07,98.00,99.50,95.25,97.25,8700,97.01
2015-09-04,98.50,100.25,97.75,98.00,11200,97.76
2015-09-03,101.00,102.25,98.50,100.75,40000,100.50
2015-09-02,99.00,99.00,96.50,98.75,6600,98.51
2015-09-01,102.00,102.00,97.00,98.75,21100,98.51
2015-08-31,95.00,103.75,93.75,103.75,61600,103.49
2015-08-28,94.50,96.00,94.00,96.00,13500,95.76
2015-08-27,89.25,94.50,89.25,94.50,54000,94.27
